title,imdbid,year,rating,BUDGET,passed,adj_budget
Waiting...,348333,2005,3,3000000.0,True,4495468.509984639
Sky High,405325,2005,3,35000000.0,True,52447132.61648744
"Jacket, The",366627,2005,2,29000000.0,False,43456195.59651817
"Adventures of Sharkboy and Lavagirl 3-D, The",424774,2005,1,50000000.0,False,74924475.16641064
Danny the dog,342258,2005,1,45000000.0,False,67432027.64976957
"Sisterhood of the Traveling Pants, The",403508,2005,3,25000000.0,True,37462237.58320532
Mrs Palfrey at The Claremont,421229,2005,3,750000.0,True,1123867.1274961596
Brokeback Mountain,388795,2005,2,14000000.0,False,20978853.046594977
Lord of War,399295,2005,2,50000000.0,False,74924475.16641064
Wedding Crashers,396269,2005,3,40000000.0,True,59939580.13312851
Red Eye,421239,2005,3,26000000.0,True,38960727.08653353
Shopgirl,338427,2005,2,10284523.0,False,15411249.76223758
Domino,421054,2005,3,50000000.0,True,74924475.16641064
Kinky Boots,434124,2005,3,10000000.0,True,14984895.033282127
Harry Potter and the Goblet of Fire,330373,2005,1,150000000.0,False,224773425.4992319
Cinderella Man,352248,2005,2,88000000.0,False,131867076.29288271
Rent,294870,2005,3,40000000.0,True,59939580.13312851
Charlie and the Chocolate Factory,367594,2005,3,150000000.0,True,224773425.4992319
Flightplan,408790,2005,3,55000000.0,True,82416922.6830517
Fun with Dick and Jane,369441,2005,3,100000000.0,True,149848950.33282128
Dark Water,382628,2005,3,30000000.0,True,44954685.099846385
Fantastic Four,120667,2005,1,100000000.0,False,149848950.33282128
"Ballad of Jack and Rose, The",357110,2005,3,1500000.0,True,2247734.2549923193
Coach Carter,393162,2005,3,30000000.0,True,44954685.099846385
Tideland,410764,2005,3,12000000.0,True,17981874.039938554
Hoodwinked!,443536,2005,3,15000000.0,True,22477342.549923193
L&#39;empire des loups,402158,2005,3,24000000.0,True,35963748.07987711
Madagascar,351283,2005,0,75000000.0,False,112386712.74961595
Isolation,446719,2005,1,5000000.0,False,7492447.516641064
Memoirs of a Geisha,397535,2005,3,85000000.0,True,127371607.78289808
Hustle &amp; Flow,410097,2005,3,8000000.0,True,11987916.026625704
MirrorMask,366780,2005,3,4000000.0,True,5993958.013312852
Proof,377107,2005,3,20000000.0,True,29969790.066564254
Mr. &amp; Mrs. Smith,356910,2005,2,110000000.0,False,164833845.3661034
"Devil&#39;s Rejects, The",395584,2005,3,7000000.0,True,10489426.523297489
House of the Dead 2,435665,2005,3,6000000.0,True,8990937.019969277
"Ring Two, The",377109,2005,3,50000000.0,True,74924475.16641064
Ice Princess,396652,2005,3,25000000.0,True,37462237.58320532
Constantine,360486,2005,1,100000000.0,False,149848950.33282128
Hostel,450278,2005,1,4800000.0,False,7192749.615975421
"Yours, Mine and Ours",443295,2005,3,45000000.0,True,67432027.64976957
"Wedding Date, The",372532,2005,3,15000000.0,True,22477342.549923193
Legion of the Dead,441041,2005,3,500000.0,True,749244.7516641065
Capote,379725,2005,3,7000000.0,True,10489426.523297489
Beauty Shop,388500,2005,3,25000000.0,True,37462237.58320532
Match Point,416320,2005,3,15000000.0,True,22477342.549923193
Hitch,386588,2005,2,70000000.0,False,104894265.23297489
Must Love Dogs,417001,2005,2,30000000.0,False,44954685.099846385
Single White Female 2: The Psycho,448120,2005,3,2000000.0,True,2996979.006656426
Twelve and Holding,417385,2005,3,400000.0,True,599395.801331285
BloodRayne,383222,2005,3,25000000.0,True,37462237.58320532
Rumor Has It...,398375,2005,3,70000000.0,True,104894265.23297489
Stealth,382992,2005,1,135000000.0,False,202296082.94930875
Pride and Prejudice,414387,2005,3,28000000.0,True,41957706.093189955
"Proposition, The",421238,2005,1,2000000.0,False,2996979.006656426
"Fog, The",432291,2005,3,18000000.0,True,26972811.059907828
Munich,408306,2005,1,70000000.0,False,104894265.23297489
"Exorcism of Emily Rose, The",404032,2005,3,19000000.0,True,28471300.56323604
Bewitched,374536,2005,3,85000000.0,True,127371607.78289808
"Three Burials of Melquiades Estrada, The",419294,2005,3,15000000.0,True,22477342.549923193
Cursed,257516,2005,3,35000000.0,True,52447132.61648744
"Amityville Horror, The",384806,2005,3,19000000.0,True,28471300.56323604
Son of the Mask,362165,2005,1,84000000.0,False,125873118.27956986
White Noise,375210,2005,1,10000000.0,False,14984895.033282127
Keeping Mum,444653,2005,3,169000.0,True,253244.72606246793
Transporter 2,388482,2005,1,32000000.0,False,47951664.106502816
Adam&#39;s Apples,418455,2005,0,3700000.0,False,5544411.162314388
Boogeyman,357507,2005,2,20000000.0,False,29969790.066564254
Boy Eats Girl,415679,2005,2,5000000.0,False,7492447.516641064
Lords of Dogtown,355702,2005,2,25000000.0,False,37462237.58320532
Zathura: A Space Adventure,406375,2005,0,65000000.0,False,97401817.71633384
Valiant,361089,2005,1,35000000.0,False,52447132.61648744
Urban Legends: Bloody Mary,451957,2005,3,3500000.0,True,5244713.261648744
A History of Violence,399146,2005,3,32000000.0,True,47951664.106502816
"Longest Yard, The",398165,2005,1,82000000.0,False,122876139.27291344
Little Manhattan,412922,2005,3,385373.0,True,577477.3953661033
"Pacifier, The",395699,2005,3,56000000.0,True,83915412.18637991
